[ 2026-02-07 15:29:42,327 ] 20 root - INFO - Initiate the data ingestion
[ 2026-02-07 15:29:47,396 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-07 15:29:47,396 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-07 15:29:47,397 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-07 15:29:47,977 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-07 15:29:47,979 ] 22 root - INFO - Data Initiation Completed
[ 2026-02-07 15:29:48,352 ] 26 root - INFO - Initiate the data Validation
[ 2026-02-07 15:29:48,778 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 15:29:48,792 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 15:29:48,792 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 15:29:48,793 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 15:29:49,866 ] 28 root - INFO - data Validation Completed
[ 2026-02-07 15:29:49,878 ] 31 root - INFO - data Transformation started
[ 2026-02-07 15:29:49,879 ] 77 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-07 15:29:49,879 ] 79 root - INFO - Starting data transformation
[ 2026-02-07 15:29:49,995 ] 62 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-02-07 15:29:49,995 ] 67 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-07 15:29:50,065 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 15:29:50,076 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 15:29:50,077 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 15:29:50,086 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 15:29:50,090 ] 35 root - INFO - data Transformation completed
[ 2026-02-07 15:29:50,090 ] 37 root - INFO - Model Training sstared
[ 2026-02-07 15:42:10,121 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 15:42:10,123 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 15:42:10,124 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 15:42:10,228 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 15:42:10,228 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_07_2026_15_29_25\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908869987849331, precision_score=0.990084985835694, recall_score=0.9916903121199838), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9735018344883816, precision_score=0.9707317073170731, recall_score=0.9762878168438267))
[ 2026-02-07 15:42:10,229 ] 42 root - INFO - Model Training artifact created
