[ 2026-02-07 12:36:17,466 ] 20 root - INFO - Initiate the data ingestion
[ 2026-02-07 12:36:21,214 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-07 12:36:21,214 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-07 12:36:21,215 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-07 12:36:21,315 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-07 12:36:21,316 ] 22 root - INFO - Data Initiation Completed
[ 2026-02-07 12:36:21,355 ] 26 root - INFO - Initiate the data Validation
[ 2026-02-07 12:36:21,458 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 12:36:21,458 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 12:36:21,459 ] 32 root - INFO - Required number of columns:2
[ 2026-02-07 12:36:21,459 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-07 12:36:21,738 ] 28 root - INFO - data Validation Completed
[ 2026-02-07 12:36:21,739 ] 31 root - INFO - data Transformation started
[ 2026-02-07 12:36:21,739 ] 77 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-07 12:36:21,739 ] 79 root - INFO - Starting data transformation
[ 2026-02-07 12:36:21,783 ] 62 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-02-07 12:36:21,784 ] 67 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-07 12:36:21,814 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 12:36:21,835 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 12:36:21,836 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-07 12:36:21,840 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-07 12:36:21,842 ] 35 root - INFO - data Transformation completed
[ 2026-02-07 12:36:21,842 ] 37 root - INFO - Model Training sstared
